,Date,CLOSE,OPEN,HIGH,LOW,VOLUME,Change %
0,28-10-2025,"1,003.55",997.65,"1,008.00",995,33900000.0,0.06%
1,27-10-2025,"1,002.95",996.5,"1,009.05",996.2,15700000.0,0.82%
2,24-10-2025,994.75,"1,011.00","1,011.95",991.3,17710000.0,-1.39%
3,23-10-2025,"1,008.80","1,016.00","1,020.50","1,006.00",43530000.0,0.11%
4,21-10-2025,"1,007.70","1,006.00","1,010.00","1,004.00",3470000.0,0.47%
5,20-10-2025,"1,002.95",997,"1,020.00",997,22200000.0,0.04%
6,17-10-2025,"1,002.55",993.95,"1,009.00",986,25210000.0,0.82%
7,16-10-2025,994.35,982.65,996.6,981.5,22940000.0,1.65%
8,15-10-2025,978.25,975,984.9,973.35,23310000.0,0.11%
9,14-10-2025,977.15,970,980.45,967,22930000.0,0.02%
10,13-10-2025,977,974.3,981,972,18630000.0,-0.40%
11,10-10-2025,980.9,979,986.2,978.1,13760000.0,0.39%
12,09-10-2025,977.1,974.5,979,970.15,15370000.0,-0.16%
13,08-10-2025,978.7,976,985.9,974.55,15940000.0,-0.39%
14,07-10-2025,982.5,974,989.85,971,25540000.0,0.93%
15,06-10-2025,973.45,971.9,977.4,962,18540000.0,0.86%
16,03-10-2025,965.15,952,966.75,952,26660000.0,-0.01%
17,01-10-2025,965.25,952.7,969.6,946,25350000.0,1.50%
18,30-09-2025,951,958.05,960,946.3,28300000.0,0.07%
19,29-09-2025,950.3,946.05,956.8,939.1,32400000.0,0.56%
20,26-09-2025,945.05,945.1,951.45,941.3,14870000.0,-0.51%
21,25-09-2025,949.85,952.5,958,947.4,31410000.0,-0.13%
22,24-09-2025,951.05,952.2,956.45,943,15120000.0,-0.64%
23,23-09-2025,957.2,967,968.2,955.5,21020000.0,-0.73%
24,22-09-2025,964.2,964,971.2,961.95,10850000.0,-0.28%
25,19-09-2025,966.9,974.9,976.7,962.1,31240000.0,-1.02%
26,18-09-2025,976.9,973.3,979.65,969.25,17790000.0,1.08%
27,17-09-2025,966.5,965.15,974.4,964.35,17360000.0,-0.04%
28,16-09-2025,966.85,961.2,969.35,961.2,18660000.0,-0.02%
29,15-09-2025,967.05,969.6,972.35,965,14490000.0,-0.03%
30,12-09-2025,967.3,969.9,970.75,962.25,14360000.0,-0.05%
31,11-09-2025,967.8,960.3,969.25,959.9,15110000.0,0.20%
32,10-09-2025,965.9,973.9,973.9,961.7,18090000.0,0.08%
33,09-09-2025,965.15,974,974.4,962.7,13990000.0,-0.09%
34,08-09-2025,966,969,973.15,960.45,11710000.0,0.27%
35,05-09-2025,963.4,967.5,967.5,954.05,11600000.0,0.22%
36,04-09-2025,961.25,960.2,965.7,956.25,17600000.0,0.71%
37,03-09-2025,954.45,945,956.3,940,16079999.999999998,1.05%
38,02-09-2025,944.5,951,954.8,944,14200000.0,-0.64%
39,01-09-2025,950.6,949.6,957.45,946.35,20180000.0,-0.11%
40,29-08-2025,951.6,954,963.3,950.1,14820000.0,-0.65%
41,28-08-2025,957.8,967,972.2,955,25440000.0,-1.60%
42,26-08-2025,973.4,979.5,985.7,968,16920000.0,-0.88%
43,25-08-2025,982.05,980.1,988.7,978.5,17520000.0,-0.03%
44,22-08-2025,982.3,994.95,998,978.55,19830000.0,-1.34%
45,21-08-2025,995.6,998.75,998.75,991.6,12440000.0,0.15%
46,20-08-2025,994.1,993.5,996,989.5,9950000.0,-0.15%
47,19-08-2025,995.55,999.15,"1,003.05",993.35,12350000.0,-0.62%
48,18-08-2025,"1,001.80","1,005.00","1,013.30",997.8,19280000.0,0.63%
49,14-08-2025,995.55,989,998,985.6,17510000.0,0.55%
50,13-08-2025,990.15,997,997,984.55,13580000.0,0.53%
51,12-08-2025,984.95,995.95,998,983.75,12940000.0,-1.29%
52,11-08-2025,997.8,987.95,998.8,986.55,9110000.0,1.10%
53,08-08-2025,986.95,993.55,996.4,985,13900000.0,-1.08%
54,07-08-2025,997.7,990.05,"1,000.80",988.4,13080000.0,0.51%
55,06-08-2025,992.65,985.55,994,985,14080000.0,0.39%
56,05-08-2025,988.8,993.25,997.2,982.75,23980000.0,-0.72%
57,04-08-2025,996,"1,005.05","1,009.25",994.05,13930000.0,-1.00%
58,01-08-2025,"1,006.10","1,007.00","1,014.15","1,004.65",11320000.0,-0.30%
59,31-07-2025,"1,009.10","1,007.30","1,015.70","1,004.00",22180000.0,-0.38%
60,30-07-2025,"1,012.90","1,014.00","1,016.30","1,008.50",15150000.0,0.21%
61,29-07-2025,"1,010.80",999.95,"1,013.25",998.15,19900000.0,0.65%
62,28-07-2025,"1,004.25","1,001.50","1,010.70","1,000.25",12060000.0,0.19%
63,25-07-2025,"1,002.30","1,007.50","1,007.50",999.5,9310000.0,-0.23%
64,24-07-2025,"1,004.60","1,016.32","1,016.32","1,001.71",19110000.0,-0.50%
65,23-07-2025,"1,009.64","1,003.00","1,012.38",999.01,13630000.0,0.86%
66,22-07-2025,"1,001.06","1,004.05","1,006.50",999.01,14840000.0,0.33%
67,21-07-2025,997.77,986.65,998.52,985.8,22310000.0,2.20%
68,18-07-2025,976.27,990.98,996.02,974.08,16129999.999999998,-1.48%
69,17-07-2025,990.98,999.51,999.91,988.89,22530000.0,-0.47%
70,16-07-2025,995.67,"1,006.50","1,008.84",993.83,17990000.0,0.04%
71,15-07-2025,995.27,984.05,999.31,984.05,14500000.0,0.63%
72,14-07-2025,989.04,989.04,991.88,982.85,13090000.0,-0.04%
73,11-07-2025,989.39,996.52,999.91,987.99,12520000.0,-1.12%
74,10-07-2025,"1,000.61","1,005.50","1,006.00",997.52,17030000.0,-0.25%
75,09-07-2025,"1,003.10","1,001.01","1,004.40",996.57,13860000.0,0.49%
76,08-07-2025,998.22,986.05,"1,000.01",986.05,15220000.0,0.70%
77,07-07-2025,991.23,992.03,996.72,989.44,11350000.0,-0.10%
78,04-07-2025,992.18,991.08,999.26,987.54,7860000.0,0.11%
79,03-07-2025,991.08,994.97,"1,001.51",989.69,16860000.0,0.06%
80,02-07-2025,990.54,"1,007.44","1,007.44",986.5,18880000.0,-1.30%
81,01-07-2025,"1,003.55","1,000.01","1,005.50",999.51,14390000.0,0.53%
82,30-06-2025,998.27,"1,003.25","1,004.40",995.27,13650000.0,-0.67%
83,27-06-2025,"1,004.95","1,004.00","1,007.39",994.23,28210000.0,-0.34%
84,26-06-2025,"1,008.39",988.24,"1,011.03",987.54,50080000.0,2.10%
85,25-06-2025,987.64,980.56,988.54,979.51,18410000.0,0.98%
86,24-06-2025,978.02,980.06,987.04,975.37,22630000.0,0.64%
87,23-06-2025,971.78,971.78,976.52,968.49,11740000.0,-0.83%
88,20-06-2025,979.91,963.4,982.51,963.4,32900000.0,1.52%
89,19-06-2025,965.25,964.55,970.98,960.41,16880000.0,0.07%
90,18-06-2025,964.55,956.12,965.75,956.12,18430000.0,0.22%
91,17-06-2025,962.41,966.1,968.39,957.17,16980000.0,-0.30%
92,16-06-2025,965.3,959.61,967.04,957.67,16510000.000000002,0.93%
