,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,28-Oct-2025,EQ,420.5,421.65,415.9,420.65,417.85,417.9,417.96,471.5,390.15,"1,71,63,147","7,17,34,91,707.05","1,47,046"
1,27-Oct-2025,EQ,417.0,422.7,416.6,416.8,421.0,420.65,420.58,471.5,390.15,"1,16,03,679","4,88,02,29,507.85","1,15,318"
2,24-Oct-2025,EQ,415.95,417.95,413.45,415.95,417.8,416.8,415.51,471.5,390.15,"1,49,35,678","6,20,59,57,776.10","1,14,037"
3,23-Oct-2025,EQ,416.0,420.45,413.55,412.85,416.25,415.95,417.33,471.5,390.15,"2,43,05,990","10,14,35,43,220.15","1,89,470"
4,21-Oct-2025,EQ,413.5,413.95,412.35,413.05,412.5,412.85,412.93,471.5,390.15,"11,42,130","47,16,23,300.60","38,260"
5,20-Oct-2025,EQ,412.55,414.85,411.3,412.15,412.6,413.05,412.96,471.5,390.15,"1,30,83,621","5,40,30,72,501.60","1,26,249"
6,17-Oct-2025,EQ,405.35,413.85,405.25,405.15,411.4,412.15,411.42,471.5,390.15,"2,10,71,344","8,66,91,97,740.65","1,55,146"
7,16-Oct-2025,EQ,401.0,406.0,399.55,399.9,405.45,405.15,403.0,471.5,390.15,"2,29,62,049","9,25,37,41,617.70","1,61,737"
8,15-Oct-2025,EQ,398.0,400.85,397.25,396.8,400.3,399.9,399.77,471.5,390.15,"1,60,43,867","6,41,38,86,116.50","1,07,335"
9,14-Oct-2025,EQ,400.0,400.85,396.2,399.25,396.7,396.8,397.77,471.5,390.15,"1,02,91,102","4,09,35,09,264.00","1,55,469"
10,13-Oct-2025,EQ,400.0,400.95,398.55,402.8,399.4,399.25,399.67,471.5,390.15,"95,08,594","3,80,02,78,856.70","1,72,792"
11,10-Oct-2025,EQ,400.45,403.85,399.5,399.9,402.5,402.8,402.29,471.5,390.15,"1,50,85,738","6,06,87,94,009.10","1,15,991"
12,09-Oct-2025,EQ,399.0,401.4,398.95,399.75,399.3,399.9,399.97,471.5,390.15,"1,56,56,267","6,26,20,21,427.10","1,27,019"
13,08-Oct-2025,EQ,400.0,401.75,398.0,399.8,399.5,399.75,399.5,471.5,390.15,"84,02,463","3,35,67,45,732.55","93,216"
14,07-Oct-2025,EQ,402.5,402.6,399.5,400.75,399.9,399.8,400.47,471.5,390.15,"1,22,98,968","4,92,53,18,576.70","1,28,812"
15,06-Oct-2025,EQ,403.0,403.9,399.8,404.3,401.1,400.75,400.71,471.5,390.15,"1,39,89,077","5,60,55,84,637.30","1,19,696"
16,03-Oct-2025,EQ,404.9,405.5,402.3,405.6,404.6,404.3,404.32,471.5,390.15,"1,69,87,141","6,86,82,13,808.30","1,19,898"
17,01-Oct-2025,EQ,402.35,406.0,399.75,401.55,404.9,405.6,403.72,471.5,390.15,"1,76,43,039","7,12,28,31,971.25","1,16,986"
18,30-Sep-2025,EQ,406.75,406.75,400.4,407.25,401.7,401.55,402.22,471.5,390.15,"94,65,490","3,80,71,99,569.50","1,35,011"
19,29-Sep-2025,EQ,406.9,408.0,403.2,405.1,404.4,407.25,406.55,471.5,390.15,"1,97,17,660","8,01,61,25,728.80","1,38,356"
20,26-Sep-2025,EQ,400.1,405.9,399.8,400.1,405.0,405.1,403.62,471.5,390.15,"1,44,14,044","5,81,77,82,528.90","1,20,767"
21,25-Sep-2025,EQ,401.45,403.0,398.0,401.0,400.45,400.1,400.05,471.5,390.15,"2,20,06,368","8,80,36,08,106.55","1,74,393"
22,24-Sep-2025,EQ,403.2,404.65,400.7,403.2,401.0,401.0,401.65,471.5,390.15,"1,23,80,865","4,97,28,36,129.35","1,17,613"
23,23-Sep-2025,EQ,407.1,408.1,402.1,406.95,404.0,403.2,403.67,471.5,390.15,"1,49,36,357","6,02,94,14,917.85","1,65,353"
24,22-Sep-2025,EQ,410.65,411.0,406.05,410.65,407.0,406.95,408.02,471.5,390.15,"89,30,779","3,64,39,75,296.25","1,28,779"
25,19-Sep-2025,EQ,411.55,412.6,408.95,411.55,410.0,410.65,410.47,471.5,390.15,"1,95,05,321","8,00,63,79,578.25","1,19,041"
26,18-Sep-2025,EQ,411.35,413.05,410.1,409.3,412.5,411.55,411.51,471.5,390.15,"1,56,47,808","6,43,92,99,773.30","1,05,500"
27,17-Sep-2025,EQ,413.95,414.6,408.05,413.1,410.05,409.3,410.17,471.5,390.15,"1,41,13,882","5,78,91,28,854.55","1,47,228"
28,16-Sep-2025,EQ,413.2,414.35,412.0,412.65,413.65,413.1,413.12,471.5,390.15,"82,39,087","3,40,37,29,371.05","97,899"
29,15-Sep-2025,EQ,413.05,414.3,411.75,413.75,412.8,412.65,413.05,471.5,390.15,"57,07,331","2,35,74,18,512.55","91,972"
30,12-Sep-2025,EQ,415.35,417.05,412.85,415.05,413.55,413.75,414.89,471.5,390.15,"78,03,379","3,23,75,50,924.50","78,225"
31,11-Sep-2025,EQ,413.05,416.7,412.45,413.05,415.35,415.05,415.51,471.5,390.15,"82,74,406","3,43,80,66,391.55","1,95,524"
32,10-Sep-2025,EQ,411.0,413.7,408.95,410.05,413.0,413.05,411.25,471.5,390.15,"92,52,397","3,80,50,55,609.05","1,41,806"
33,09-Sep-2025,EQ,408.5,410.95,407.4,407.55,410.0,410.05,409.78,471.5,390.15,"88,25,896","3,61,66,92,854.60","88,691"
34,08-Sep-2025,EQ,407.45,410.55,406.8,407.35,408.4,407.55,408.21,471.5,390.15,"74,19,022","3,02,85,06,105.15","1,13,635"
35,05-Sep-2025,EQ,416.9,417.0,404.4,415.9,407.9,407.35,406.82,471.5,390.15,"1,60,00,675","6,50,94,28,201.45","2,13,298"
36,04-Sep-2025,EQ,423.95,427.0,415.0,411.75,415.75,415.9,418.56,471.5,390.15,"2,72,74,123","11,41,58,87,821.05","2,71,564"
