,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,28-Oct-2025,EQ,"3,605.00","3,624.90","3,562.00","3,611.60","3,581.00","3,579.10","3,591.79","3,723.80","2,425.00","28,51,093","10,24,05,38,836.50","1,34,052"
1,27-Oct-2025,EQ,"3,626.80","3,635.30","3,593.00","3,625.00","3,616.00","3,611.60","3,612.50","3,723.80","2,425.00","14,40,893","5,20,52,19,258.20","1,15,594"
2,24-Oct-2025,EQ,"3,630.00","3,655.30","3,615.10","3,623.60","3,618.20","3,625.00","3,633.70","3,723.80","2,425.00","16,54,500","6,01,19,48,836.10","86,815"
3,23-Oct-2025,EQ,"3,632.10","3,650.00","3,600.00","3,621.20","3,627.50","3,623.60","3,627.70","3,723.80","2,425.00","37,24,956","13,51,30,26,368.10","1,75,986"
4,21-Oct-2025,EQ,"3,608.20","3,628.10","3,604.30","3,599.10","3,606.00","3,621.20","3,621.39","3,723.80","2,425.00","2,86,950","1,03,91,57,741.10","28,419"
5,20-Oct-2025,EQ,"3,674.00","3,676.00","3,593.00","3,647.20","3,596.70","3,599.10","3,630.88","3,723.80","2,425.00","28,27,250","10,26,53,93,771.20","1,20,487"
6,17-Oct-2025,EQ,"3,561.00","3,656.00","3,560.10","3,560.80","3,656.00","3,647.20","3,629.84","3,723.80","2,425.00","33,39,579","12,12,21,53,989.00","1,43,948"
7,16-Oct-2025,EQ,"3,503.00","3,573.20","3,498.30","3,497.20","3,563.90","3,560.80","3,552.62","3,723.80","2,425.00","21,25,552","7,55,12,75,887.70","1,49,417"
8,15-Oct-2025,EQ,"3,461.00","3,500.00","3,460.00","3,459.80","3,494.40","3,497.20","3,490.86","3,723.80","2,425.00","13,19,445","4,60,59,99,810.80","74,577"
9,14-Oct-2025,EQ,"3,469.90","3,487.10","3,428.00","3,459.70","3,453.00","3,459.80","3,453.14","3,723.80","2,425.00","15,18,505","5,24,36,14,247.80","88,544"
10,13-Oct-2025,EQ,"3,432.00","3,470.00","3,432.00","3,454.90","3,457.00","3,459.70","3,456.02","3,723.80","2,425.00","10,90,517","3,76,88,49,508.80","98,582"
11,10-Oct-2025,EQ,"3,425.00","3,473.90","3,395.70","3,442.90","3,454.00","3,454.90","3,444.15","3,723.80","2,425.00","14,16,272","4,87,78,54,709.30","98,132"
12,09-Oct-2025,EQ,"3,450.00","3,475.00","3,424.00","3,426.50","3,436.00","3,442.90","3,441.65","3,723.80","2,425.00","19,97,853","6,87,59,19,859.40","99,935"
13,08-Oct-2025,EQ,"3,500.00","3,509.70","3,422.60","3,492.80","3,425.00","3,426.50","3,447.19","3,723.80","2,425.00","14,44,911","4,98,08,86,190.20","96,223"
14,07-Oct-2025,EQ,"3,468.10","3,521.40","3,465.10","3,472.00","3,497.00","3,492.80","3,491.83","3,723.80","2,425.00","15,08,939","5,26,89,52,345.40","88,944"
15,06-Oct-2025,EQ,"3,462.00","3,480.00","3,425.10","3,462.00","3,476.00","3,472.00","3,463.48","3,723.80","2,425.00","11,56,082","4,00,40,68,116.50","71,226"
16,03-Oct-2025,EQ,"3,462.10","3,492.40","3,404.20","3,463.40","3,460.00","3,462.00","3,445.02","3,723.80","2,425.00","23,57,702","8,12,23,29,194.80","1,22,072"
17,01-Oct-2025,EQ,"3,419.20","3,501.00","3,415.50","3,427.00","3,468.50","3,463.40","3,467.09","3,723.80","2,425.00","23,64,844","8,19,91,17,035.70","1,20,394"
18,30-Sep-2025,EQ,"3,420.00","3,454.00","3,393.10","3,418.10","3,435.00","3,427.00","3,425.21","3,723.80","2,425.00","26,11,078","8,94,34,78,480.40","1,21,816"
19,29-Sep-2025,EQ,"3,419.00","3,458.00","3,405.00","3,396.50","3,433.10","3,418.10","3,431.03","3,723.80","2,425.00","31,75,716","10,89,59,80,137.60","2,11,089"
20,26-Sep-2025,EQ,"3,510.00","3,547.50","3,391.60","3,530.00","3,400.00","3,396.50","3,438.21","3,723.80","2,425.00","30,46,760","10,47,53,89,442.70","2,11,846"
21,25-Sep-2025,EQ,"3,579.90","3,584.10","3,521.80","3,574.90","3,538.20","3,530.00","3,545.18","3,723.80","2,425.00","21,06,344","7,46,73,76,220.70","1,20,749"
22,24-Sep-2025,EQ,"3,614.50","3,626.30","3,568.00","3,614.60","3,580.50","3,574.90","3,593.60","3,723.80","2,425.00","13,20,014","4,74,35,96,986.00","99,535"
23,23-Sep-2025,EQ,"3,610.00","3,679.20","3,606.80","3,584.80","3,610.00","3,614.60","3,627.06","3,723.80","2,425.00","25,23,224","9,15,18,89,431.90","1,26,861"
24,22-Sep-2025,EQ,"3,600.00","3,616.60","3,569.30","3,592.10","3,585.00","3,584.80","3,592.08","3,723.80","2,425.00","16,64,133","5,97,76,94,949.50","80,506"
25,19-Sep-2025,EQ,"3,601.00","3,636.70","3,584.50","3,642.20","3,600.90","3,592.10","3,602.33","3,723.80","2,425.00","40,18,342","14,47,54,07,169.30","1,16,789"
26,18-Sep-2025,EQ,"3,636.10","3,650.00","3,603.30","3,633.20","3,637.00","3,642.20","3,629.28","3,723.80","2,425.00","24,80,472","9,00,23,15,211.40","1,07,896"
27,17-Sep-2025,EQ,"3,608.00","3,644.90","3,593.10","3,608.00","3,635.00","3,633.20","3,625.72","3,723.80","2,425.00","22,37,804","8,11,36,52,038.50","92,659"
28,16-Sep-2025,EQ,"3,545.00","3,619.90","3,528.90","3,530.30","3,612.00","3,608.00","3,580.21","3,723.80","2,425.00","24,65,043","8,82,53,61,957.90","1,17,952"
29,15-Sep-2025,EQ,"3,590.00","3,603.40","3,526.60","3,589.90","3,530.30","3,530.30","3,544.99","3,723.80","2,425.00","25,50,444","9,04,12,91,874.40","1,40,495"
30,12-Sep-2025,EQ,"3,594.90","3,641.00","3,582.00","3,595.70","3,591.00","3,589.90","3,599.07","3,723.80","2,425.00","28,39,264","10,21,87,04,650.10","1,29,437"
31,11-Sep-2025,EQ,"3,620.00","3,647.90","3,580.00","3,604.40","3,597.00","3,595.70","3,597.27","3,723.80","2,425.00","19,49,934","7,01,44,30,014.50","1,28,933"
32,10-Sep-2025,EQ,"3,702.00","3,708.90","3,591.40","3,696.30","3,609.00","3,604.40","3,624.04","3,723.80","2,425.00","22,98,202","8,32,87,64,832.90","1,49,195"
33,09-Sep-2025,EQ,"3,702.20","3,723.80","3,673.10","3,701.40","3,702.00","3,696.30","3,696.11","3,723.80","2,425.00","28,79,258","10,64,20,60,040.70","1,94,157"
34,08-Sep-2025,EQ,"3,585.00","3,715.20","3,579.10","3,561.30","3,704.20","3,701.40","3,673.43","3,715.20","2,425.00","46,23,789","16,98,51,71,650.00","2,20,538"
35,05-Sep-2025,EQ,"3,511.00","3,577.80","3,481.50","3,481.50","3,562.90","3,561.30","3,554.30","3,577.80","2,425.00","37,00,943","13,15,42,58,911.70","1,90,252"
36,04-Sep-2025,EQ,"3,527.00","3,550.00","3,463.40","3,286.00","3,480.00","3,481.50","3,494.72","3,550.00","2,425.00","76,00,320","26,56,09,76,128.40","3,53,688"
37,03-Sep-2025,EQ,"3,269.00","3,293.70","3,232.80","3,234.50","3,288.00","3,286.00","3,266.31","3,432.00","2,425.00","26,72,659","8,72,97,29,375.60","1,21,638"
38,02-Sep-2025,EQ,"3,325.00","3,330.00","3,223.00","3,315.40","3,238.00","3,234.50","3,270.24","3,432.00","2,425.00","30,73,407","10,05,07,75,941.00","1,81,109"
39,01-Sep-2025,EQ,"3,191.10","3,324.90","3,191.10","3,199.50","3,312.00","3,315.40","3,278.35","3,432.00","2,425.00","35,25,726","11,55,85,58,577.60","1,74,792"
40,29-Aug-2025,EQ,"3,271.00","3,280.00","3,187.00","3,295.30","3,200.00","3,199.50","3,213.52","3,432.00","2,425.00","30,17,625","9,69,71,94,403.80","2,07,686"
41,28-Aug-2025,EQ,"3,375.00","3,375.00","3,287.30","3,330.80","3,301.00","3,295.30","3,308.84","3,432.00","2,425.00","29,36,428","9,71,61,60,339.20","1,80,770"
42,26-Aug-2025,EQ,"3,395.00","3,414.00","3,318.10","3,398.90","3,340.00","3,330.80","3,354.33","3,432.00","2,425.00","31,22,442","10,47,36,88,991.00","1,45,646"
43,25-Aug-2025,EQ,"3,428.00","3,429.00","3,381.80","3,403.00","3,400.00","3,398.90","3,396.86","3,432.00","2,425.00","18,59,862","6,31,76,85,152.40","1,32,740"
44,22-Aug-2025,EQ,"3,380.00","3,420.00","3,375.40","3,375.10","3,400.10","3,403.00","3,399.83","3,432.00","2,425.00","25,09,867","8,53,31,31,905.20","1,29,261"
45,21-Aug-2025,EQ,"3,410.00","3,410.00","3,370.00","3,395.60","3,377.50","3,375.10","3,387.18","3,432.00","2,425.00","19,64,795","6,65,51,07,263.60","1,12,757"
46,20-Aug-2025,EQ,"3,354.10","3,404.20","3,335.00","3,354.00","3,392.00","3,395.60","3,374.40","3,432.00","2,425.00","29,57,816","9,98,08,49,538.80","1,76,971"
47,19-Aug-2025,EQ,"3,400.00","3,403.90","3,338.10","3,383.10","3,357.00","3,354.00","3,367.12","3,432.00","2,425.00","25,96,242","8,74,18,54,869.20","2,14,611"
48,18-Aug-2025,EQ,"3,350.00","3,432.00","3,335.30","3,265.40","3,379.00","3,383.10","3,401.48","3,432.00","2,425.00","57,87,481","19,68,60,00,130.20","3,29,583"
49,14-Aug-2025,EQ,"3,273.20","3,313.50","3,262.00","3,282.20","3,265.00","3,265.40","3,276.60","3,313.50","2,425.00","15,08,721","4,94,34,76,384.10","1,04,267"
50,13-Aug-2025,EQ,"3,255.00","3,300.00","3,238.70","3,236.50","3,294.00","3,282.20","3,273.00","3,303.00","2,425.00","24,36,029","7,97,31,34,836.80","1,14,569"
51,12-Aug-2025,EQ,"3,186.10","3,253.00","3,185.10","3,186.20","3,236.00","3,236.50","3,235.18","3,303.00","2,425.00","33,15,978","10,72,77,84,089.50","1,52,785"
52,11-Aug-2025,EQ,"3,150.90","3,230.00","3,130.30","3,144.20","3,184.10","3,186.20","3,169.91","3,303.00","2,425.00","20,46,761","6,48,80,40,275.70","1,32,454"
53,08-Aug-2025,EQ,"3,207.00","3,214.90","3,135.60","3,211.10","3,141.80","3,144.20","3,169.17","3,303.00","2,425.00","17,21,037","5,45,42,53,481.60","1,35,295"
54,07-Aug-2025,EQ,"3,198.00","3,229.60","3,161.10","3,227.50","3,206.00","3,211.10","3,203.57","3,303.00","2,425.00","23,74,621","7,60,72,59,640.90","96,751"
55,06-Aug-2025,EQ,"3,212.20","3,240.10","3,178.60","3,212.20","3,240.10","3,227.50","3,212.42","3,303.00","2,425.00","18,66,321","5,99,54,14,551.80","1,01,809"
56,05-Aug-2025,EQ,"3,195.00","3,222.00","3,170.10","3,200.20","3,213.00","3,212.20","3,198.75","3,303.00","2,425.00","18,05,644","5,77,57,96,842.20","94,042"
57,04-Aug-2025,EQ,"3,170.00","3,223.00","3,160.00","3,159.30","3,197.60","3,200.20","3,200.23","3,303.00","2,425.00","26,84,012","8,58,94,44,766.90","1,01,458"
58,01-Aug-2025,EQ,"3,205.00","3,205.00","3,116.70","3,203.10","3,165.00","3,159.30","3,160.76","3,303.00","2,425.00","37,81,457","11,95,22,81,862.40","1,83,054"
59,31-Jul-2025,EQ,"3,225.00","3,238.20","3,135.60","3,208.90","3,197.50","3,203.10","3,199.17","3,303.00","2,425.00","44,65,859","14,28,70,51,740.90","2,42,288"
60,30-Jul-2025,EQ,"3,195.00","3,241.60","3,151.90","3,199.40","3,225.00","3,208.90","3,191.71","3,303.00","2,425.00","21,99,654","7,02,06,66,358.40","1,55,483"
61,29-Jul-2025,EQ,"3,203.00","3,225.90","3,186.60","3,209.80","3,207.00","3,199.40","3,203.08","3,303.00","2,425.00","18,24,673","5,84,45,75,813.70","1,32,200"
62,28-Jul-2025,EQ,"3,246.40","3,256.90","3,199.20","3,246.40","3,210.00","3,209.80","3,219.27","3,303.00","2,425.00","19,39,520","6,24,38,45,327.80","1,11,553"
63,25-Jul-2025,EQ,"3,256.00","3,259.00","3,214.00","3,260.90","3,245.00","3,246.40","3,237.82","3,303.00","2,425.00","14,75,856","4,77,85,58,496.30","74,302"
64,24-Jul-2025,EQ,"3,255.00","3,286.50","3,243.70","3,268.80","3,245.00","3,260.90","3,264.66","3,303.00","2,425.00","14,69,406","4,79,71,13,228.70","1,08,929"
65,23-Jul-2025,EQ,"3,260.00","3,303.00","3,248.00","3,257.20","3,265.00","3,268.80","3,274.46","3,303.00","2,425.00","21,59,800","7,07,21,73,921.40","1,20,588"
66,22-Jul-2025,EQ,"3,246.70","3,271.90","3,210.50","3,246.70","3,260.00","3,257.20","3,242.64","3,271.90","2,425.00","18,54,072","6,01,20,96,306.20","1,31,531"
67,21-Jul-2025,EQ,"3,177.00","3,253.60","3,152.80","3,192.40","3,246.30","3,246.70","3,223.16","3,270.95","2,425.00","24,36,535","7,85,33,38,648.50","1,29,022"
68,18-Jul-2025,EQ,"3,208.00","3,252.00","3,176.70","3,195.00","3,199.00","3,192.40","3,202.66","3,270.95","2,425.00","20,40,381","6,53,46,36,726.90","1,26,629"
69,17-Jul-2025,EQ,"3,186.30","3,238.00","3,171.00","3,196.50","3,216.00","3,195.00","3,192.87","3,270.95","2,425.00","32,67,180","10,43,16,77,227.00","1,25,112"
70,16-Jul-2025,EQ,"3,128.60","3,210.00","3,082.40","3,128.60","3,203.00","3,196.50","3,154.19","3,270.95","2,425.00","28,92,812","9,12,44,66,835.80","1,40,712"
71,15-Jul-2025,EQ,"3,086.10","3,148.30","3,082.90","3,092.10","3,135.00","3,128.60","3,123.96","3,270.95","2,425.00","28,26,720","8,83,05,61,477.60","1,23,399"
72,14-Jul-2025,EQ,"3,072.80","3,104.80","3,053.60","3,073.20","3,093.20","3,092.10","3,089.15","3,270.95","2,425.00","29,58,843","9,14,03,20,464.20","93,030"
73,11-Jul-2025,EQ,"3,158.00","3,162.40","3,062.40","3,162.40","3,069.90","3,073.20","3,091.91","3,270.95","2,425.00","30,41,614","9,40,43,99,177.80","1,50,131"
74,10-Jul-2025,EQ,"3,172.10","3,192.60","3,137.60","3,176.30","3,160.00","3,162.40","3,161.04","3,270.95","2,425.00","17,01,384","5,37,81,35,216.60","84,149"
75,09-Jul-2025,EQ,"3,145.00","3,189.00","3,141.00","3,157.90","3,175.00","3,176.30","3,174.88","3,270.95","2,425.00","12,45,661","3,95,48,24,484.60","69,074"
76,08-Jul-2025,EQ,"3,150.00","3,168.00","3,123.00","3,160.20","3,163.00","3,157.90","3,145.25","3,270.95","2,425.00","15,13,129","4,75,91,68,871.90","1,20,541"
77,07-Jul-2025,EQ,"3,162.50","3,173.00","3,152.10","3,162.50","3,158.00","3,160.20","3,163.69","3,270.95","2,425.00","8,53,459","2,70,00,77,746.00","68,501"
78,04-Jul-2025,EQ,"3,161.10","3,177.00","3,134.10","3,174.40","3,162.00","3,162.50","3,155.27","3,270.95","2,425.00","9,68,006","3,05,43,21,981.60","63,482"
79,03-Jul-2025,EQ,"3,165.20","3,221.00","3,164.80","3,165.20","3,175.60","3,174.40","3,196.86","3,270.95","2,425.00","21,02,806","6,72,23,67,311.20","98,684"
80,02-Jul-2025,EQ,"3,168.00","3,202.70","3,153.70","3,176.10","3,164.80","3,165.20","3,172.44","3,270.95","2,425.00","15,59,309","4,94,68,21,700.00","76,219"
81,01-Jul-2025,EQ,"3,188.00","3,218.00","3,168.20","3,183.20","3,176.00","3,176.10","3,188.97","3,270.95","2,425.00","14,07,074","4,48,71,21,750.10","90,034"
82,30-Jun-2025,EQ,"3,205.40","3,219.80","3,161.00","3,203.30","3,178.80","3,183.20","3,184.38","3,270.95","2,425.00","20,83,572","6,63,48,93,924.00","1,11,475"
83,27-Jun-2025,EQ,"3,205.00","3,241.50","3,187.10","3,215.80","3,220.00","3,203.30","3,206.86","3,270.95","2,425.00","50,98,406","16,34,98,56,926.00","1,76,163"
84,26-Jun-2025,EQ,"3,225.90","3,238.00","3,183.50","3,215.50","3,203.20","3,215.80","3,208.13","3,270.95","2,425.00","29,07,261","9,32,68,73,893.20","1,61,956"
85,25-Jun-2025,EQ,"3,180.00","3,225.50","3,160.50","3,150.10","3,218.00","3,215.50","3,195.35","3,270.95","2,425.00","20,78,771","6,64,24,06,851.10","1,01,906"
86,24-Jun-2025,EQ,"3,155.10","3,216.60","3,136.80","3,135.00","3,156.20","3,150.10","3,177.77","3,270.95","2,425.00","28,34,887","9,00,86,22,103.80","1,51,693"
87,23-Jun-2025,EQ,"3,163.60","3,184.40","3,122.70","3,184.40","3,136.00","3,135.00","3,141.92","3,270.95","2,425.00","17,31,432","5,44,00,16,795.60","96,994"
88,20-Jun-2025,EQ,"3,100.00","3,203.00","3,090.30","3,094.80","3,189.90","3,184.40","3,173.67","3,270.95","2,425.00","83,15,834","26,39,17,40,253.10","2,33,029"
89,19-Jun-2025,EQ,"3,038.00","3,106.90","3,034.20","3,041.10","3,089.00","3,094.80","3,082.49","3,270.95","2,425.00","24,82,920","7,65,35,64,735.10","1,07,167"
90,18-Jun-2025,EQ,"3,000.00","3,074.90","2,986.60","3,007.20","3,038.00","3,041.10","3,043.90","3,270.95","2,425.00","21,61,043","6,57,79,97,630.30","93,881"
91,17-Jun-2025,EQ,"3,043.00","3,043.00","2,994.00","3,023.60","3,008.00","3,007.20","3,008.48","3,270.95","2,425.00","14,55,355","4,37,84,04,686.10","1,13,661"
92,16-Jun-2025,EQ,"3,001.00","3,045.00","2,988.10","3,006.00","3,021.00","3,023.60","3,019.76","3,270.95","2,425.00","16,73,726","5,05,42,44,285.80","82,046"
93,13-Jun-2025,EQ,"2,932.00","3,018.50","2,932.00","3,019.20","3,005.90","3,006.00","2,990.46","3,270.95","2,425.00","20,03,184","5,99,04,41,411.50","1,02,647"
94,12-Jun-2025,EQ,"3,088.00","3,094.00","3,007.00","3,080.70","3,008.00","3,019.20","3,035.72","3,270.95","2,425.00","22,78,398","6,91,65,79,589.50","1,17,848"
95,11-Jun-2025,EQ,"3,085.00","3,124.00","3,076.00","3,067.50","3,082.00","3,080.70","3,096.19","3,270.95","2,425.00","17,49,787","5,41,76,68,102.90","81,643"
96,10-Jun-2025,EQ,"3,102.00","3,106.90","3,059.80","3,087.40","3,075.20","3,067.50","3,082.98","3,270.95","2,425.00","17,87,253","5,51,00,67,863.50","1,11,508"
97,09-Jun-2025,EQ,"3,130.00","3,141.00","3,078.00","3,106.50","3,085.00","3,087.40","3,101.96","3,270.95","2,425.00","13,64,639","4,23,30,53,183.50","76,538"
98,06-Jun-2025,EQ,"3,041.60","3,112.90","3,027.00","3,041.60","3,106.50","3,106.50","3,075.56","3,270.95","2,425.00","20,28,071","6,23,74,51,267.20","95,355"
99,05-Jun-2025,EQ,"3,078.00","3,095.00","2,994.80","3,053.40","3,045.00","3,041.60","3,049.40","3,270.95","2,425.00","35,04,632","10,68,70,29,172.00","1,43,954"
100,04-Jun-2025,EQ,"3,045.10","3,087.00","3,040.10","3,046.50","3,051.00","3,053.40","3,061.48","3,270.95","2,425.00","15,84,653","4,85,13,81,285.30","82,506"
101,03-Jun-2025,EQ,"3,042.00","3,064.80","3,027.00","3,025.90","3,044.00","3,046.50","3,045.88","3,270.95","2,425.00","32,04,094","9,75,92,96,418.70","1,39,606"
102,02-Jun-2025,EQ,"2,976.80","3,038.50","2,962.30","2,976.80","3,024.00","3,025.90","3,015.36","3,270.95","2,425.00","29,67,741","8,94,88,07,437.30","1,70,070"
103,30-May-2025,EQ,"3,005.00","3,017.40","2,957.00","3,009.00","2,971.00","2,976.80","2,977.23","3,270.95","2,425.00","37,00,191","11,01,63,20,512.70","1,13,144"
104,29-May-2025,EQ,"2,999.00","3,028.90","2,987.20","2,997.80","3,013.60","3,009.00","3,003.39","3,270.95","2,425.00","20,93,429","6,28,73,88,111.40","1,02,777"
105,28-May-2025,EQ,"3,039.70","3,044.80","2,993.00","3,039.80","2,994.50","2,997.80","3,009.00","3,270.95","2,425.00","14,91,995","4,48,94,15,080.40","93,521"
106,27-May-2025,EQ,"3,080.20","3,085.00","3,014.60","3,080.20","3,042.00","3,039.80","3,040.70","3,270.95","2,425.00","25,99,143","7,90,32,17,359.60","1,30,075"
107,26-May-2025,EQ,"3,038.00","3,101.00","3,027.70","3,012.70","3,075.00","3,080.20","3,078.97","3,270.95","2,425.00","21,64,190","6,66,34,81,816.60","1,50,987"
