,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,28-Oct-2025,EQ,"3,076.00","3,090.20","3,040.20","3,084.90","3,059.80","3,057.90","3,059.27","4,494.90","2,866.60","34,70,737","10,61,79,38,168.30","1,40,326"
1,27-Oct-2025,EQ,"3,066.50","3,094.20","3,060.20","3,063.20","3,083.00","3,084.90","3,083.94","4,494.90","2,866.60","19,46,312","6,00,23,14,206.60","85,517"
2,24-Oct-2025,EQ,"3,080.00","3,090.00","3,058.30","3,073.20","3,060.60","3,063.20","3,073.62","4,494.90","2,866.60","26,84,318","8,25,05,73,087.80","1,87,127"
3,23-Oct-2025,EQ,"3,055.00","3,098.00","3,036.10","3,006.70","3,070.00","3,073.20","3,075.63","4,494.90","2,866.60","55,64,758","17,11,51,35,296.00","2,90,229"
4,21-Oct-2025,EQ,"3,031.10","3,031.80","2,996.00","3,015.20","3,000.00","3,006.70","3,013.14","4,494.90","2,866.60","3,10,644","93,60,15,414.70","29,319"
5,20-Oct-2025,EQ,"2,985.50","3,023.00","2,978.50","2,962.20","3,016.30","3,015.20","3,007.54","4,494.90","2,866.60","31,33,039","9,42,27,54,243.30","1,63,532"
6,17-Oct-2025,EQ,"2,970.00","2,988.80","2,955.40","2,970.70","2,963.00","2,962.20","2,967.59","4,494.90","2,866.60","43,74,683","12,98,22,48,748.30","1,65,312"
7,16-Oct-2025,EQ,"2,969.90","2,975.00","2,943.10","2,969.80","2,971.80","2,970.70","2,961.98","4,494.90","2,866.60","32,51,495","9,63,08,75,594.50","1,97,293"
8,15-Oct-2025,EQ,"2,971.00","2,979.70","2,951.00","2,960.30","2,970.00","2,969.80","2,967.01","4,494.90","2,866.60","42,82,226","12,70,53,86,117.20","1,46,773"
9,14-Oct-2025,EQ,"3,021.00","3,027.20","2,955.50","3,007.20","2,960.00","2,960.30","2,976.34","4,494.90","2,866.60","36,11,416","10,74,87,94,587.50","1,83,673"
10,13-Oct-2025,EQ,"3,027.00","3,035.50","2,998.20","3,028.30","3,006.00","3,007.20","3,011.37","4,494.90","2,866.60","28,66,865","8,63,31,80,149.10","1,69,572"
11,10-Oct-2025,EQ,"3,050.00","3,070.00","3,006.90","3,061.70","3,028.00","3,028.30","3,032.16","4,494.90","2,866.60","88,17,365","26,73,56,29,672.60","2,44,153"
12,09-Oct-2025,EQ,"3,034.00","3,066.00","3,020.00","3,027.20","3,060.20","3,061.70","3,046.36","4,494.90","2,866.60","32,11,304","9,78,27,98,225.60","1,33,703"
13,08-Oct-2025,EQ,"2,975.00","3,043.00","2,968.00","2,973.70","3,031.50","3,027.20","3,024.78","4,494.90","2,866.60","41,21,889","12,46,78,11,108.50","1,54,336"
14,07-Oct-2025,EQ,"2,995.00","3,004.50","2,955.50","2,988.40","2,975.00","2,973.70","2,971.70","4,494.90","2,866.60","30,62,943","9,10,21,39,525.60","1,41,987"
15,06-Oct-2025,EQ,"2,902.00","2,993.60","2,895.60","2,901.90","2,988.00","2,988.40","2,959.88","4,494.90","2,866.60","21,12,774","6,25,35,56,716.30","1,00,920"
16,03-Oct-2025,EQ,"2,924.00","2,924.00","2,891.10","2,914.20","2,903.00","2,901.90","2,902.27","4,494.90","2,866.60","28,99,519","8,41,51,75,156.20","1,56,466"
17,01-Oct-2025,EQ,"2,891.00","2,924.80","2,866.60","2,888.40","2,915.10","2,914.20","2,897.26","4,494.90","2,866.60","19,52,902","5,65,80,70,903.00","1,24,217"
18,30-Sep-2025,EQ,"2,911.00","2,915.30","2,885.10","2,896.10","2,891.00","2,888.40","2,895.89","4,494.90","2,885.10","22,53,458","6,52,57,55,380.40","2,01,510"
19,29-Sep-2025,EQ,"2,916.00","2,929.30","2,894.00","2,899.10","2,904.30","2,896.10","2,904.37","4,494.90","2,891.30","31,10,035","9,03,26,90,025.70","1,79,197"
20,26-Sep-2025,EQ,"2,941.00","2,954.80","2,891.30","2,957.40","2,905.40","2,899.10","2,915.19","4,494.90","2,891.30","39,34,636","11,47,02,04,570.00","3,90,339"
21,25-Sep-2025,EQ,"3,022.00","3,029.60","2,951.00","3,035.40","2,958.00","2,957.40","2,977.56","4,494.90","2,951.00","49,74,361","14,81,14,52,426.90","4,18,858"
22,24-Sep-2025,EQ,"3,050.00","3,057.00","3,033.00","3,062.40","3,036.80","3,035.40","3,044.04","4,494.90","2,991.60","16,25,714","4,94,87,46,206.60","1,01,133"
23,23-Sep-2025,EQ,"3,070.00","3,080.70","3,052.00","3,073.80","3,065.00","3,062.40","3,063.85","4,494.90","2,991.60","31,77,741","9,73,61,21,756.20","1,41,198"
24,22-Sep-2025,EQ,"3,095.00","3,106.90","3,065.00","3,169.20","3,075.50","3,073.80","3,082.86","4,494.90","2,991.60","36,34,901","11,20,58,89,441.10","3,21,272"
